track,stem,metric,value
clip01,bass,sdr,124.26015307956888
clip01,bass,sir,124.26015307956888
clip01,bass,sar,124.26015307956888
clip01,bass,isr,124.26015307956888
clip01,bass,nsdr,124.26015307956888
clip01,drums,sdr,124.26006036583358
clip01,drums,sir,124.26006036583358
clip01,drums,sar,124.26006036583358
clip01,drums,isr,124.26006036583358
clip01,drums,nsdr,124.26006036583358
clip01,guitar,sdr,124.26013433419257
clip01,guitar,sir,124.26013433419257
clip01,guitar,sar,124.26013433419257
clip01,guitar,isr,124.26013433419257
clip01,guitar,nsdr,124.26013433419257
clip01,keys,sdr,124.26015462534117
clip01,keys,sir,124.26015462534117
clip01,keys,sar,124.26015462534117
clip01,keys,isr,124.26015462534117
clip01,keys,nsdr,124.26015462534117
clip01,other,sdr,124.26015307956888
clip01,other,sir,124.26015307956888
clip01,other,sar,124.26015307956888
clip01,other,isr,124.26015307956888
clip01,other,nsdr,124.26015307956888
clip01,piano,sdr,124.26015718316509
clip01,piano,sir,124.26015718316509
clip01,piano,sar,124.26015718316509
clip01,piano,isr,124.26015718316509
clip01,piano,nsdr,124.26015718316509
clip01,strings,sdr,124.26015307956888
clip01,strings,sir,124.26015307956888
clip01,strings,sar,124.26015307956888
clip01,strings,isr,124.26015307956888
clip01,strings,nsdr,124.26015307956888
clip01,vocals,sdr,124.26015307956888
clip01,vocals,sir,124.26015307956888
clip01,vocals,sar,124.26015307956888
clip01,vocals,isr,124.26015307956888
clip01,vocals,nsdr,124.26015307956888
clip02,bass,sdr,125.01604754706338
clip02,bass,sir,125.01604754706338
clip02,bass,sar,125.01604754706338
clip02,bass,isr,125.01604754706338
clip02,bass,nsdr,125.01604754706338
clip02,drums,sdr,125.0160317369619
clip02,drums,sir,125.0160317369619
clip02,drums,sar,125.0160317369619
clip02,drums,isr,125.0160317369619
clip02,drums,nsdr,125.0160317369619
clip02,guitar,sdr,125.01598793757373
clip02,guitar,sir,125.01598793757373
clip02,guitar,sar,125.01598793757373
clip02,guitar,isr,125.01598793757373
clip02,guitar,nsdr,125.01598793757373
clip02,keys,sdr,125.01604730932559
clip02,keys,sir,125.01604730932559
clip02,keys,sar,125.01604730932559
clip02,keys,isr,125.01604730932559
clip02,keys,nsdr,125.01604730932559
clip02,other,sdr,125.01604754706338
clip02,other,sir,125.01604754706338
clip02,other,sar,125.01604754706338
clip02,other,isr,125.01604754706338
clip02,other,nsdr,125.01604754706338
clip02,piano,sdr,125.01604754706338
clip02,piano,sir,125.01604754706338
clip02,piano,sar,125.01604754706338
clip02,piano,isr,125.01604754706338
clip02,piano,nsdr,125.01604754706338
clip02,strings,sdr,125.01604754706338
clip02,strings,sir,125.01604754706338
clip02,strings,sar,125.01604754706338
clip02,strings,isr,125.01604754706338
clip02,strings,nsdr,125.01604754706338
clip02,vocals,sdr,125.01604754706338
